GENERATION: 0
strategy 1: ((0.9609725250605543, 0.6771769315614841, 0.009163669989473266, 0.5737792705520969, 1.1532670304230876, 0.6210608068119975), 8304.0)
strategy 2: ((0.4915438102710543, 0.6073958185712763, 0.4878425233755034, 0.22642834385992217, 0.31660072696424224, 0.4842171454318782), 7552.0)
strategy 3: ((0.4620805930927767, 0.8626313100055367, 0.4949024940521607, 0.5737792705520969, 1.1532670304230876, 0.20435544194439773), 7528.0)
strategy 4: ((0.4620805930927767, 0.6073958185712763, 0.2511560600452444, 0.5737792705520969, 1.1532670304230876, 0.7998375794747707), 5144.0)
strategy 5: ((0.8351901953617312, 0.5346958633886881, 0.6299052301092041, 0.5707083451629278, 1.4802037079395927, 0.4320100734555834), 5088.0)
strategy 6: ((0.5489714050959172, 0.807851250848535, 0.5715000632584553, 0.5707083451629278, 1.1324997612228551, 0.4320100734555834), 5084.0)
strategy 7: ((0.4620805930927767, 0.8215212438981765, 0.006271514610666296, 0.3129203555380923, 0.2253524974820843, 0.5376527615020987), 4892.0)
strategy 8: ((0.4620805930927767, 0.807851250848535, 0.5715000632584553, 0.31658029547238153, 1.1532670304230876, 0.5351646948928898), 4488.0)
strategy 9: ((0.3241625381791782, 0.8801027970789349, 0.01672755042890084, 0.22642834385992217, 0.31660072696424224, 2.3435380734619358), 4376.0)
strategy 10: ((0.6896368369143915, 0.5346958633886881, 0.01672755042890084, 0.5707083451629278, 1.5279596134929136, 2.3552516659897256), 3876.0)
strategy 11: ((0.4915438102710543, 0.5076085166905824, 0.8552944369311103, 0.8868218578170115, 1.2068384577735114, 0.005126410170084639), 3808.0)
strategy 12: ((0.5315669246643367, 0.8215212438981765, 0.20293342745266885, 0.5737792705520969, 1.2182287863254158, 0.3116349888271003), 3704.0)
strategy 13: ((0.9609725250605543, 0.5346958633886881, 0.7751429037916816, 0.5707083451629278, 1.912931091962831, 0.5998923759899729), 3584.0)
strategy 14: ((0.44614738320622094, 0.356161624189006, 0.009163669989473266, 0.5737792705520969, 1.1532670304230876, 2.6067725973534266), 3568.0)
strategy 15: ((0.7387299790765686, 0.9276014602125839, 0.6299052301092041, 0.31658029547238153, 1.1324997612228551, 0.638043535075849), 3496.0)
strategy 16: ((0.9455542224904628, 0.3599059316928116, 0.4878425233755034, 0.652042632993917, 2.690131308072956, 0.4842171454318782), 3420.0)
strategy 17: ((0.9197118658031204, 0.6619705062386992, 0.6686828799996255, 0.964847192420972, 1.664156830146723, 0.42278783871276215), 3376.0)
strategy 18: ((0.8651994698498967, 0.6771769315614841, 0.3812530341263538, 1.2296362377641112, 1.9349845793086549, 0.42278783871276215), 3308.0)
strategy 19: ((0.9609725250605543, 0.6771769315614841, 0.6620789202348828, 0.8176062702831199, 1.7177899333089648, 0.5998923759899729), 3240.0)
strategy 20: ((0.8651994698498967, 0.6619705062386992, 0.4878425233755034, 0.652042632993917, 1.598152607266453, 0.3857452277271947), 3100.0)
strategy 21: ((0.9197118658031204, 0.8076090438148522, 0.48237419549324834, 1.300682646465734, 1.4800195667455522, 0.7638306902005964), 2888.0)
strategy 22: ((0.3454243360105407, 0.807851250848535, 0.4878425233755034, 0.652042632993917, 1.4617511831799321, 0.638043535075849), 2636.0)
strategy 23: ((0.9197118658031204, 0.7402345051153401, 0.2511560600452444, 0.22642834385992217, 0.31660072696424224, 0.8824148879402727), 2284.0)
strategy 24: ((0.14896049433900305, 0.4289689899685952, 0.6035674988743365, 0.2073130972777072, 1.5824421643548672, 0.21697995901033762), 2228.0)
strategy 25: ((0.9197118658031204, 0.7402345051153401, 0.4878425233755034, 0.652042632993917, 1.7267954033203763, 0.4842171454318782), 2120.0)
strategy 26: ((0.4915438102710543, 0.8002587737301143, 0.9713867414692384, 0.2073130972777072, 1.8589133653215604, 0.4842171454318782), 2036.0)
strategy 27: ((0.3454243360105407, 0.807851250848535, 0.6299052301092041, 1.3843460801782623, 1.238246557520283, 0.638043535075849), 1904.0)
strategy 28: ((0.4620805930927767, 0.9276014602125839, 0.009163669989473266, 1.3516180649954859, 0.8709865166979353, 0.5798940603601778), 1808.0)
strategy 29: ((0.6394895665228982, 0.8626313100055367, 0.7751429037916816, 0.5707083451629278, 2.825823026795141, 0.38037797777844373), 1796.0)
strategy 30: ((0.6674272412915482, 0.8729686156778105, 0.8552944369311103, 0.652042632993917, 1.2068384577735114, 0.005126410170084639), 1744.0)
strategy 31: ((0.4915438102710543, 0.7402345051153401, 0.4878425233755034, 0.652042632993917, 1.378410353893568, 0.8824148879402727), 1680.0)
strategy 32: ((0.3371417830585577, 0.6487897202041254, 0.3812530341263538, 0.8176062702831199, 1.9349845793086549, 0.6927409059420673), 1656.0)
strategy 33: ((0.4915438102710543, 0.6073958185712763, 0.2511560600452444, 0.652042632993917, 0.31660072696424224, 0.3736951646736015), 1652.0)
strategy 34: ((0.9455542224904628, 0.8626313100055367, 0.4949024940521607, 1.5933210898662518, 2.825823026795141, 0.8285439479693514), 1644.0)
strategy 35: ((0.8309166091895027, 0.36275617677301997, 0.14542368921689708, 0.964847192420972, 2.690131308072956, 0.42278783871276215), 1616.0)
strategy 36: ((0.4620805930927767, 0.07515401508741792, 0.009163669989473266, 0.2073130972777072, 1.1532670304230876, 0.21697995901033762), 1520.0)
strategy 37: ((0.41239040180480635, 0.6073958185712763, 0.3812530341263538, 0.22642834385992217, 1.9349845793086549, 0.5998923759899729), 1496.0)
strategy 38: ((0.6394895665228982, 0.8626313100055367, 0.463974470203408, 1.4443704817960006, 2.4374700684549007, 1.0466413146861488), 1488.0)
